id;text;answer
1;unreconizable;Sorry, I could not understand you. I will remain stopped. Please repeat, bruh.
2;hold;Hold
3;hold;Hold
4;old;Hold
5;hohl's;Hold
6;close;Hold
7;holt;Hold
2;hold;Hold
3;hold;Hold
4;old;Hold
5;hohl's;Hold
6;close;Hold
7;holt;Hold
8;carry;Carry my luggage
9;barry;Carry my luggage
10;fairy;Carry my luggage
11;luggage;Carry my luggage
12;stop;Stop
13;thank you;you're welcome, bruh
14;follow;Follow me
15;hollow;Follow me
16;colonie;Follow me
17;colony;Follow me
18;Apollo;Yes?
19;Follow;Yes?
20;Hello;Yes?
21;Barlow;Yes?
22;Hello Apollo;Yes?
23;hole;Hold
24;whole;Hold
25;cold;Hold
26;pole;Hold
27;call;Hold
28;hull;Hold
